CustomerID,Name,Email,Phone,RegionID
1,Anay Shanker,aarushkanda@yahoo.com,+91 9714082249,7
2,Nirvaan Choudhury,,+91 9005164240,4
3,Sara Behl,miraya78@chaudhry.biz,+91 9232509404,8
4,Kiara Kakar,navya55@hotmail.com,+91 9785799573,5
5,Aniruddh Batra,sdash@krishnan.com,+91 9652661265,7
6,Mehul Krishnan,tara80@gopal.biz,+91 9833306600,10
7,Jhanvi Chaudhary,dasskrish@shukla.info,+91 9695839617,3
8,Madhup Kapur,umang29@jaggi.biz,+91 9991563949,7
9,Zoya Virk,shaanloke@gmail.com,+91 9392625623,8
10,Tara Swaminathan,,+91 9510943948,5
11,Rasha Kakar,zoyadatta@gmail.com,+91 9290959190,4
12,Ranbir Brahmbhatt,stuvan15@rajan.com,+91 9416577139,8
13,Tarini Ganguly,,+91 9349166254,8
14,Divij Gupta,abramlala@shukla.net,+91 9199970386,3
15,Taimur Vaidya,ranbir65@bora-chana.biz,+91 9818618201,6
16,Lavanya Deo,bedwin@hotmail.com,+91 9303781378,5
17,Samiha Karpe,vvarty@hotmail.com,+91 9697435318,2
18,Uthkarsh Baral,kavya50@gmail.com,+91 9648887213,8
19,Mishti Ranganathan,samihalalla@yahoo.com,+91 9590895952,6
20,Kashvi Char,,+91 9952955459,2
21,Azad Sahota,yyogi@karnik.info,+91 9385475441,5
22,Trisha Dhillon,tchaudry@yahoo.com,+91 9680290362,1
23,Dhanush Agarwal,sramachandran@ramanathan.info,+91 9469453821,10
24,Vaibhav Dewan,madanmadhav@chad-shetty.info,+91 9568713265,6
25,Myra Tiwari,kiaan45@gmail.com,+91 9805110198,9
26,Ishaan Goyal,aliakonda@hotmail.com,+91 9399127300,1
27,Lakshay Sampath,nakulsankar@yahoo.com,+91 9321369572,10
28,Rati Sanghvi,kbath@hora-raj.info,+91 9832932621,3
29,Mahika Ravi,uthkarsh37@kari.com,+91 9192721419,7
30,Hazel Sethi,anay61@bhavsar.org,+91 9481510514,4
31,Hrishita Bera,ojassubramaniam@karan.info,+91 9284932910,9
32,Purab Reddy,kaurkanav@kothari.com,+91 9731673112,3
33,Piya Gaba,kavyabehl@aggarwal.com,+91 9700630864,5
34,Anika Kade,rastogimishti@hotmail.com,+91 9600750933,3
35,Zara Dugar,riya05@swamy.biz,+91 9097926357,7
36,Priyansh Bali,jivin77@yahoo.com,+91 9155037509,5
37,Jiya Vora,wallastuvan@bhattacharyya.org,+91 9559818681,9
38,Lakshit Sagar,ebuch@yahoo.com,+91 9950121550,7
39,Vivaan Wagle,kundabiju@batta.net,+91 9115820060,2
40,Hridaan Deo,samarthdhawan@krishnamurthy.com,+91 9501352434,4
41,Nishith Sharma,badalsani@gmail.com,+91 9422308982,9
42,Siya Master,,+91 9673306527,2
43,Keya Iyengar,hridaan59@hotmail.com,+91 9305639030,10
44,Madhup Biswas,ivan77@halder-chaudhuri.info,+91 9513726309,9
